Apostolic Foundations

00:00 -  We have been speaking on apostolic foundations. True apostolicity. What is this particular thing?
58:31 -  Therefore God is not ashamed to be called their God. He has prepared a place for them. Thank you precious God.
58:45 -  May we have an apostolic ear to hear. What the Spirit is saying to the Church. That we have been called tonight.
58:59 -  As effectively as the call that came to Abraham at the ear of the Chaldeans. It is a call of radical separation. Of a going out.
59:16 -  A not knowing. It invites being made strange. To becoming an exile.
59:30 -  And a stranger. Not just in the world. But in Christendom.
59:39 -  It is ultimate. In the name of Jesus. The author and the finisher of our faith.
59:50 -  Whose minister I have been for this word. This apostolic call. I invite you to give him answer.
01:00:03 -  They who say such things. Declare. They are looking for another country.
01:00:12 -  Another city. Whose builder and maker is God. We need to bring something to the level of consciousness.
01:00:22 -  The level of choice. The level of confession. They who say such things.
01:00:33 -  God invites you to say it. Even tonight. Once and for all.
01:00:41 -  For Jesus sake. We give you opportunity now. I just want you to know that four and a half centuries ago.
01:00:53 -  In Zolikon, just a stone's throw from here. An apostolic movement was begun with no more than what has happened tonight. An apostolic movement has begun with no more than what happened tonight.
01:01:11 -  Someone said to me who had made a choice like this at another time. I saw them the next day. They said nothing has changed, but everything has changed.
01:01:32 -  I'm just seeing differently. Everything has changed. Everything has changed.
01:01:41 -  But nothing has changed. You have crossed the threshold. You have crossed the threshold.
01:01:49 -  A line of... Through the threshold. For those of you who could not bring yourself to do it.
01:01:58 -  And those who have not managed to do it. The spirit will strive with you through the night hours. The spirit will fight with you through the night.
01:02:06 -  I would encourage you not to linger long. If you'll not do it for your own sake. Do it for their sake.
01:02:20 -  Whose witnesses are invisibly around us tonight. And if you'll not do it for their sake. Do it for his sake.
01:02:31 -  Who made an offering once and for all. That we might be sanctified. And that his creation will be redeemed.
01:02:44 -  Through the true church of God. Now it says let us go outside to him. Outside the camp.
01:03:02 -  Bearing his reproach. For here we do not have a lasting city. Where we are sitting seeking a city to come.
01:03:12 -  I believe that Jesus is still outside the camp. He's not where the popular Christianity is. That does not require much of its members.
01:03:26 -  But a succession of services. He's outside. He's outside.
01:03:35 -  In the place of reproach. Waiting for as many as will go out to him. Nothing has changed.
01:03:48 -  So Lord we thank you. What a call you gave us tonight. What a privileged walk.
01:03:57 -  So beyond any ability of our own to fulfill. But you have prepared a place. For those who seek that country.
01:04:13 -  You're not ashamed to be called their God. And I pray your blessing on every child of God in this room. Who has said yes to you tonight.
01:04:26 -  With no more than what we said yes four and a half centuries ago. Grant them every grace. To bear your reproach.
01:04:42 -  Outside the camp. Who will no longer be one of the boys. That even without their saying anything to anyone.
01:04:54 -  Something has happened. Something is exuded through them. That will make their former friends to recoil.
01:05:06 -  And make them to feel strange. Because they have joined those who are exuded. Pilgrims on this earth.
01:05:17 -  Who are not satisfied with anything other. Than the heavenly city of God. Seal your work tonight.
01:05:27 -  And let it be full of consequence. In time and eternity. Because you have the power to change.
01:05:38 -  In time and eternity. Because you have transacted with men. By the word which you sent.
01:05:50 -  For Jesus sake. In my holy name we pray.
