Widows and Slaves Indeed

00:00 -  And it's unspeakable privilege to be a slave of Christ So Doing the will of God from the heart
51:38 -  You're really serving the lord and more than that the fact that you are a bond slave and that he's the master Is not some precarious accident of fate It's God's predetermined and sovereign wisdom that you should occupy that role while he occupies that role
51:54 -  And in that fixed relationship that God has ordained in his sovereignty Something is to be worked and something is to be revealed of the transcendent nature of the faith that will glorify God So don't you murmur?
52:08 -  Don't you complain? Don't you take upon yourself the mentality of a victim as if you have something coming because your master is not your master Your master is christ
52:18 -  And you know what authenticates this that Paul can speak with authority. He himself is a bond slave He's not speaking from some lofty ethereal height of a man coming out of his Holiday in suite and giving the church a few words of wisdom going back
52:32 -  to the privilege of that Lifestyle he himself is in chains Not literal, although at the end of his life they were literal but his entire believing life
52:43 -  He saw himself and he saw himself rightly as a bond slave of christ Therefore when he spoke to men who socially were bond slaves he could speak to them with an authority that was more than just Incidental. In fact, it was the very issue of making his counsel
53:00 -  Significant that he himself also was in a state just like unto them Only his master was the lord but he was no more free to do his thing than they are free to do their thing Because they ought to regard
53:15 -  Their physical masters in the same way that Paul regarded his namely as christ And to render service to them not as man pleasing or eye pleasing but as God pleasing I don't know if you guys realize this. This is a revolution
53:31 -  Hey, this is former marxist talking. I know what's radical and I would say in all of my Associations with the so-called radicalisms of the past that's kid stuff That's ephemeral stuff that
53:44 -  Goes into the dung heap it amounts to nothing but bloodshed This is radical. This is revolutionary and it doesn't require one iota of social change All that it requires is a change of mind
53:57 -  All it requires is an attitude All it requires is an apostolic mindset Nothing needs to be disturbed in the fabric of society itself because you don't want to begin tearing there
54:09 -  But in the given situation let that man Paul says in first quentin's remain in the place within he is called Because in that place is the whole drama and significance of the faith itself Don't look for some lustrous occasion. If only you could be freed from this narrow
54:30 -  With obligation that is monotonous and predictable and could be out there where art is Out in russia that that that that that that then you could really serve the lord But here in the monotonous regularity of my regular job from eight to five. I don't have the opportunity baloney
54:47 -  That is as profound an occasion for the setting forth of the grace of God and the marvel of the faith And the reality of God as anything that any man can do anywhere Who is it that has sent art to russia is no other than the one who has put you in that place of employment
55:02 -  It's the lord He's absolutely sovereign He's no he knows what he's doing and if you're faithful in that place with that employer under those circumstances in that monotony that regularity
55:14 -  That unfairness to serve the lord not as a man pleaser but as doing something as unto the lord And be faithful. He'll promote you. He'll he'll open Other doors, that's the place and you need to regard it as coming from the lord
55:29 -  And to serve the lord and not man with singleness of heart as unto christ not with eye service As men pleases but as the servants of christ doing the will of God from the heart You know, we we are a remarkable society
55:43 -  of slaves And yet every wit free We can kiss our chains
55:49 -  We're not begrudging That that we're under the obligation of christ Because to be chained in christ is paradoxically ultimate freedom
56:01 -  Look at Paul at at act 16 when he was actually in a cell Bound hand and foot with his back hanging in strips in the most stinking place where men urinated and defecated They didn't have outdoor toilets
56:14 -  That's right where they were they may have had a bucket that spilled over and all of that filth and all of that congestion and all of that Place where gangrene and death is an inevitability at midnight the darkest hour Paul and prio Paul and silas Praised God and sang prayed and sang praises on
56:32 -  I mean that's talk about madness talk about this this guy is not fit to live No wonder men threw dirt on their heads and made a vow this man's not fit to live If what he represents is reality and truth then what we are about is totally foamy
56:47 -  Absolutely fortunate but look at the this guy is rejoicing in his madness and is able to sing with his back hanging in stripes counting it all honor and privilege to have Born the sufferings of the lord in the obedience of the vision that came he's a bond slave
57:05 -  How else would he have left asia where the churches were being added to daily? To go to a place where he had no one had ever been before Philippi in europe in greece
57:16 -  Merely because he really he saw a vision that he was able to be checked from going further in asia where they were being prospered And go to a place to them before and what happens when you go there one woman gets saved Who was a demoniacal?
57:30 -  Character making her masses much gain and for that they were stripped beaten publicly in the in the marketplace and thrown into the dingiest of of cells To to language unto death there should have been every complaint
57:43 -  Is this what you call the heavenly vision? And uh, this is what I get from my obedience. I'm sitting here with my wounds unattended Shackled hand and foot i'm not even able to alter my position
57:56 -  Every man had a justification for complaint It's at that point Paul is rejoicing and giving praise unto God Because in that confinement is the freest man on the face of the earth
58:07 -  Because to be free in christ is to be free indeed. This is The ultimate paradox of the faith that we're slaves, but but our slavery makes us free We're free from the world
58:18 -  We're free from that the invisible taskmaster who kraskers whip that you have to have this car this house in this clothing this this this this You have what the lord gives In having food and clothing Paul says they're in be content. You're free from envy free from
58:34 -  From the kinds of things for which men exhaust themselves who are dead even while they live And this is real living because it serves the purposes of God it's moving toward a consummation It's in the mind and will of God who knows the end from the beginning
58:49 -  And it's unspeakable privilege to be a slave of christ So Doing the will of God from the heart
