Apostolic Foundations - Preaching

00:00 -  Praise the Lord. Oh hallelujah. You better watch me this morning.
01:12:43 -  To every man's conscience, blameless before God and before men. He says in Acts 20, you know I did not withhold from you any good thing. I proclaimed to you the whole council of God,
01:13:10 -  both in public places and from house to house. I spoke of the things pertaining to the kingdom. I didn't ask you whether you liked it or you didn't like it.
01:13:23 -  I didn't wait for you to tell me that you were, what's the word about coming under conviction, not conviction but condemnation.
01:13:36 -  I was not impressed when you said, well that's not loving. You should talk like that. I proclaimed to you the entire council of God.
01:13:50 -  And I am free from the blood of every man. And I am free from the blood of every man. Because what I spoke, I spoke from God.
01:14:01 -  And I spoke it in the very sight and the presence of God. Oh for such apostolic men again. And they are positionally sitting in this audience today.
01:14:16 -  Men who will speak the creative word into the very foundations of the Church of Jesus Christ. Words that are given in commandment, out of the presence of God,
01:14:38 -  by men who will come up unto Him and be there. Are you determining something in your heart? That this word today can be an event for you.
01:14:52 -  Because it comes to you as more than a word of instruction. It comes to you as call and challenge. As invitation.
01:15:10 -  To come up unto me. Up from the fear of men. Up from the concern for your petty reputations.
01:15:24 -  Up from the emphasis of the traditions of men for scholarship and the kinds of things that they want to hear that impress them. Come up unto me. I pray that that is coming to you as a personal word.
01:15:48 -  An apostolic invitation from God. To be the minister of His word. Both in the Church of Jesus Christ.
01:16:02 -  And to the world. He'll fresh you. He'll deal with you severely.
01:16:14 -  He'll bring you to a place where you'll recognize in your deepest and most being a reverence for the word that is given. But oh, oh, oh.
01:16:36 -  When it is spoken, and in which it is given of God, it is very life for the dead.
01:16:50 -  Let's pray before the God of the word. Thank you, precious God. For leading us this morning through this statement
01:17:21 -  which you have given to restore us to the exaltation of the word.
01:17:34 -  To the holy sacrament of preaching. Of the word that is spoken through the mortal lips of ordinary men
01:17:51 -  in communion with you. We realize this morning as we have perhaps never before realized. There shall be no restoration.
01:18:16 -  No glorious church. No kingdom come. No fulfillment of the eternal purpose of God through the Church.
01:18:29 -  Except there first be this restored to the Church. The word of God. Lord, do it.
01:18:44 -  Through us whom you've called to be your spokesmen. Lift the faith of your Church. Lift its expectancy.
01:19:00 -  That they might come with an expectation. That the word that they are hearing is not the word of men,
01:19:12 -  but to receive it for what it truly is. The word of God, which performs a work
01:19:22 -  a necessary work a work of eternal consequence in them who believe that
01:19:35 -  If you are a minister of the word of God this morning I ask you to stand. You're called to preach and to teach.
01:19:48 -  You're called to proclaim and exclaim. You're called to be a mouthpiece for God. In this generation
01:20:03 -  you may not yet presently be functioning in it. But you're called. I want to pray a blessing.
01:20:15 -  Oh, you're saying, that's cute. That's a nice little flourish for the end of a seminar. Can't hurt anything.
01:20:27 -  Sounds good. Oh, you foolish children. If I pronounce a blessing on you
01:20:36 -  you shall be blessed. For my word is an authoritative word. It's not a well-meaning intention.
01:20:47 -  It's not a hopeful guess. It is a benediction. It is a good speaking
01:20:56 -  that performs something as a blessing that is real felt, honored from heaven
01:21:06 -  Are you prepared to receive it? Has your faith risen to believe it? Do you want it?
01:21:15 -  As a messenger of God who will speak his words and no other.
01:21:24 -  It will cost you. You'll lose your popularity. You will offend men.
01:21:33 -  But you will please God. Precious Jesus head over the church
01:21:44 -  the apostle and the high priest of our confession if I have spoken your word this morning by your gracious spirit
01:21:55 -  through the mercy that is given from within the holiest place then I ask you to honor these words
01:22:04 -  which I shall now speak to this people as a creative word a fact, an event
01:22:14 -  that which shall establish seal and bring forth true speakings
01:22:23 -  out of their mouths to the establishing of your holy purposes
01:22:31 -  in the earth through the church not only for this age
01:22:40 -  but for ages to come in your holy name Jesus I bless every single man and woman
01:22:49 -  standing to their feet now I pray holy seal upon their lives I pray an impartation
01:22:58 -  into their very spirit of a divine jealousy for the purity of the holy word
01:23:09 -  that is given I pray an increase of faith the very faith of God
01:23:19 -  that they might believe despite every appearance to the contrary in their own weakness and ineptitude and lack of qualification
01:23:27 -  that the word that they will speak is God's very word that they need not be embarrassed for it
01:23:36 -  nor ashamed to proclaim that but they can speak it boldly but they can speak it boldly
01:23:45 -  but they can speak it boldly but they can speak it boldly but they can speak it boldly
01:23:53 -  fearlessly openly that it might perform a work
01:24:02 -  in them who believe that for faith comes from hearing and hearing by the word
01:24:11 -  of God In Jesus' name we pray Amen
01:24:33 -  Let that seep into your spirit Let that seep into your spirit Let it be formed there
01:24:41 -  Let it be formed there Never to depart away Never to depart away
01:24:50 -  Hold fast the confession of your faith Hold fast the confession of your faith Rise to the apostolic invitation of God
01:24:59 -  Rise to the apostolic invitation of God and shake the earth again and shake the earth again
01:25:08 -  Hallelujah From within the veil Not from your memory of past
01:25:17 -  speaking in the spirit Fresh from the throne From the place of mercy
01:25:26 -  From communion in his presence Let it rise up from your voice Praise to the God of glory
01:25:35 -  Praise to the God of glory
