The Making of an Apostle

00:00 -  Are we on here? So Lord, we bless you Thanking you for the day that you have made
54:56 -  By the depth and the apprehension of the reality of this faith as I don't know anyone that has matched him I cannot live without my reading in this day every day of oswald chambers my first devotional reading I have three other sources, but he's my first and it's remarkable how often
55:15 -  His statement like today triggers something or his corresponds to something else that the lord is quickening and Gives you something fresh from the throne of heaven But here's my point
55:28 -  I said last night oswald chambers went through a dark night of the soul Read his biography the man agonized
55:37 -  for the longest period of time at the very same time when people were complimenting him for his religious and spiritual accomplishment He himself knew that though he was making an impressive outward performance. He did not have the corresponding reality within
55:54 -  And he would not have it until God had dealt with him in a long dry season of the soul his arabia That when he came out of that he knew what he knew what he knew How many of us are willing for a suffering like that waiting is more than twiddling your thumbs
56:13 -  Waiting is arabia waiting is dry places waiting is barrenness And there's every temptation to avoid it Cheap fizz cheap soda cheap this cheap drink instant this instant that and we want to do the same thing with the faith
56:28 -  And we have not recognized what a jewel this is. This is not a cheapie This is a life-giving message that alone has the power to break people out of the unreality, which is death in the world Whether they are jews or gentiles to those who can convey to them the alternative reality, which is of God the gospel
56:49 -  And there's more than a formula that can only be obtained when it is given This is the man who had violently persecuted the church in a seal, but when God what does pray are you marking this? I had an interpreter
57:13 -  In check is the locket where john and I are going soon in a few days When they came up to the platform to be my interpreter He came up with one of these little mini bibles with fine print. I thought oh
57:24 -  And when he opened it, there was not a mark in the book I thought this guy's going to be a dud and he was How can you have a bible in that market?
57:32 -  How can you not put an exclamation point a bracket? A yellow marking an underlining an asterisk to bring your eye to attend To some key words of key phrase, but
57:45 -  When God have you got that? I got that marked when God Speaks volumes
57:52 -  It's the God who is sovereign It's the God who is God and we cannot command or compel him for our convenience. Hey get with it lord I'm getting old now. I'm 35 40. Shouldn't I be doing something?
58:07 -  People are paying the bill shouldn't we be doing something that we can print in the newsletter that we're doing it Come on get with it But when God
58:16 -  See what a faith this is you dear saints. Are you awake? Are you up? Are you following me? When God It's the God who is God
58:27 -  Above us and our desires and our intentions and our thoughts. He's altogether other We cannot compel or cajole him for our convenience He's the lord
58:38 -  And it's when he chooses Because he's God but when God What a respect for the sovereignty of God. What a respect for the holiness of God
58:48 -  What a respect for God as God that Paul had And that's why he's an apostle. That's what an apostle is. That's what an apostolic church is Because God has been trivialized in our generation not so much by the world but by the church
59:04 -  And you guys are in danger of promoting and continuing that trivialization Because you won't wait because you don't know God as Paul did
59:14 -  Because you think he's your your handyman and your errand boy and that's why you were saved because if you believe in and call on him for his name and and Make a decision
59:26 -  Your marriage will be better. He'll find your boyfriend girlfriend your health your body your job We have such a corrupt
59:34 -  degenerate View of God as somehow a supplement for us Well, who the hell is God us or him?
59:42 -  Let's settle the issue or we have no message And we're only adding to the confusion and death that is already in the world by bringing An appropriate religious counterpart. We've got to know who this God is when God but when God
01:00:01 -  We don't know God who is Is free in himself to do what he will when he will what is our message? What are we communicating? What is our saving message to a dying world?
01:00:13 -  That will not respect and revere the God who is God because what no matter what we say They know what we are. We're communicating something without talk with our language what our persons are And if we know God as Paul, whether we speak of him explicitly or not, we're communicating that sense. I'm doing that right now
01:00:33 -  I'm speaking out of a certain knowledge Though he's not my subject Whatever the subject is the reality that we have of God is communicated
01:00:44 -  And if we do not know God as God as sovereign awesome king enthroned
01:00:52 -  The lord of glory the creator and redeemer who cannot be commanded by men but is always on time Hey, I shouldn't even be here this morning. I should be on my way to florida to bury my mother Because that was the conventional expectation of men
01:01:10 -  But why am I here because but God Because there's something more important than conventional wisdom and placating the expectations of men It's pleasing to God who is God who will often require us the exact contradiction of what the world expects
01:01:27 -  They know what they're saying. You're loveless. You couldn't be at your own mother's funeral What kind of respect is that? What kind of a son are you? What are you cheap? You couldn't afford the airfare too lazy
01:01:41 -  Now I know I had a divine appointment Someplace in scotland That I didn't know would be as significant as it's proving to be but I dare not miss it
01:01:54 -  Or miss him But God you have that but in your life This is the foundation of the apostles and the prophets not what they know about church building and government and how to resolve differences
01:02:07 -  The foundation of the apostles and the prophets is the knowledge of God as God And not as we think him to be our handyman our errand boy
01:02:17 -  But God when? When he chooses You
01:02:24 -  But when God who had set me apart before I was born listen to this Paul Called me through his grace Was pleased to reveal
01:02:38 -  His son to me And in another in term in the same greek word his son in me So that I might proclaim him among the gentiles listen to this language
01:02:51 -  There was no proclaiming no preaching no setting forth until the when came Paul could can go blue in the face. He could stomp his foot. He can pout he can cry He can say the jews are dying. The world is dying. There's no going no proclaiming until the when of God
01:03:08 -  That I might proclaim the might is the enablement and the ability to release when when comes We can't coerce God
01:03:20 -  But don't don't think that God has not his purposes in his time And that he is not heart-stricken for the condition of mankind and wants to see them delivered out of death by those whom he will send Who know him and can make him known?
01:03:35 -  He'll be on time you can be assured of it. I've never been so busy in all my life And i'm not looking for anything but it just continues to happen Books and translations and in dutch and lithuanian and my book is coming out in chinese
01:03:52 -  my first book The journal of an atheistic jew that I kept 36 years ago Hitchhiking through europe and the middle east looking for philosophical answers as a disillusioned ex-marxist. It's a perfectly appropriate book
01:04:07 -  for chinese ex-marxists But how do you get that into china? How do you get that translated the lord?
01:04:15 -  When but when God So I want you to benefit dear saints from my history And that's why he has given you older gray-haired men who have a history in God to encourage you
01:04:29 -  Because you're younger because you're impatient because you want to be approved and you want to show that the investment in sending you to school Was worthwhile and now look what you're doing Trust him he's on time
01:04:43 -  He's more anxious than you for a dying world and yet he's a master builder I ask maybe I want to go to the distillery today not because i'm a whiskey drinker But I want to see the process by which a rare vintage is produced like wine
01:05:00 -  The world knows how to do it and will not rush the process or you'll have a cheapie substitute that is only a fizz Because They let their things rested casks and oak casks that are expensive in dark places
01:05:14 -  In the arabia in which Paul himself went till finally something can be drawn off that would be exquisite And if men will do that with wine and with booze, what will God do with his saints? Is he going to make us a fizz for the world?
01:05:28 -  When they need to lift a glass that has a color and a vintage and a bouquet and a scintillation that is life-giving Trust him We prayed this morning that we would not be shaped in our own image, but his
01:05:47 -  When God who had set me apart before I was born look at the knowledge of the God's sovereignty And called me through his grace was pleased
01:05:59 -  To reveal his son in me So that I might proclaim him Among the gentiles, what shall we say call to proclaim him among the jews?
01:06:13 -  To proclaim is to set forth not an abstract message but him That he might reveal his son in me that I might proclaim him So are we ready to take a break? I don't know what your schedule is or
01:06:32 -  Yeah, we can take a break now, yeah, so I want to ask you take this question to the to the break time with you Which hymn are you setting forth What which hymn are you making known which hymn are you proclaiming or preaching
01:06:52 -  As he wrote a romantic hymn Huh Can I sing it now somebody can he sing it now
01:07:04 -  Sing it Oh But i'm not saying h y m h i m which hymn
01:07:13 -  Are you setting forth who are you presenting when you speak and teach, huh? Well, not yet. No I want you to dwell on that because the hymn that is having the wider circulation is not the true Jesus
01:07:29 -  It's a counterfeit. It's a gentilized form. It's a romantic version I'm just sharing with john's father. We both share a disgust for those paintings of Jesus and those illustrations of Jesus It's commendable art and it's an impressive figure that they draw and paint
01:07:46 -  But what who can know what the lord was and is As as to present him in a pictorial way by necessity and by definition it has got to fail However impressive it is might be as art it's got to be less than what the lord is in himself
01:08:03 -  What hymn are we presenting It's the hymn in which we have been conditioned and exposed But do we have an authentic hymn that is not some romantic projection?
01:08:14 -  What is the lord himself? He says I thank God that He was revealed in me and that revelation in me is what I make known
01:08:25 -  We've got to be jealous for the true hymn or we might find ourselves purveying Something else even in the name of Jesus Who is not a life-saving?
01:08:36 -  God but an easy to be subscribed to humanly a human construct Be jealous who is the hymn I wrote here Everywhere so falsely depicted romanticized humanized idealized gentilized
01:08:56 -  This is the son of david This is the davidic son. This is the hebrew of the hebrews in the best sense. This is not some judaized romantic thing this is the
01:09:08 -  God son in himself That has got to be formed in us got to be revealed in us got to be revealed through us Whether or not we are explicitly
01:09:19 -  preaching about him Whatever the subject is that God has given even galatians
01:09:26 -  he is Ultimately the real subject he is being set forth in whatever we say and do for God Whether or not he's the explicit subject or not. We are preaching christ
01:09:38 -  That is that measure or reality? That we have To whatever degree it's the real thing is what we are communicating
01:09:50 -  So which him are we proclaiming setting forth When was it obtained when when God have we waited for that has our when come that you might proclaim him So lord, we just
01:10:10 -  Stop at that point I don't know what the capacity of the of this class is We have perhaps already may be gone beyond that capacity
01:10:20 -  And it's a losing investment So my God, I ask that you would give us a refreshment for our souls
01:10:30 -  A capacity my God to hear the rich detailed Insightful and incisive things that you're putting before us. That is there once and for all
01:10:40 -  That has come through a prepared vessel who has waited for the when of God And is trying to instruct us in the most holy way and save us from the whole style and mood of this age which the church itself reflects unhappily
01:10:57 -  Come my God Continue give us the capacity to hear and to receive what you're wanting to give as revelation Change us by it. We thank and give you the praise in Jesus name
01:11:10 -  Okay, my brother sing your hymn go Be
01:11:48 -  Okay, take a break when you hear the whistleblower come back
