The Schiavo Case   A Conflict of Life
51:19 -  And so right to the end in Revelation 13, we see one who was slain and speaks. The Antichrist with a deadly wound being propped up as a false hope,
51:34 -  a false resurrection established by what is it, by satanic power and devices to celebrate and for men to hope in what is in man.
51:46 -  For in man is no good thing at all. He can't even know God except to be revealed to him. No man knows the Father but the Son
51:56 -  and he to whom soever the Son will reveal them. You know the commandments? Love the Lord, thank the Lord God also.
52:04 -  And never to self, go and do it and you shall live because except you live you can't do it. Can you see that?
52:12 -  God has set the stage to utter human futility and hopelessness and nowhere is that contradiction more embarrassing than in the Church that has not surrendered to God's statement
52:27 -  and has not realized the gift that we're celebrating resurrection morning and therefore the world has stolen it from us with Easter eggs and chocolate bunnies and or candies and all that stuff
52:39 -  because we ourselves have not deeply understood the glory of resurrection that is a grace to us if we would live by that life to receive it and consistently to walk in it
52:52 -  even though it would mean for us to die daily and except we will we have nothing to offer the Jew. We will be found out, revealed.
53:03 -  Our human sympathy will ever wait. Our fear will captivate us. We will not want to extend us.
53:11 -  We'll have no mercy to extend. They'll perish. We'll not stop for them in the way because we have not believed.
53:20 -  So Lord, precious God on high, if you sorrowed at the tomb of Lazarus where people were weeping for the wrong reasons, what are you doing now?
53:35 -  You're seeing this phenomenal reaction in America that brings Catholics and Protestants together in agreement outside this lady's room to wail and to weep
53:48 -  and send their little ten-year-old kids in with a cup of water knowing that there's no way that she can be allowed to receive it. We're wailing for the wrong reasons Lord.
53:57 -  What we ought to be weeping for is the neglect of what you have obtained for us at so great a cost and that we consistently live beneath it, have not learned to appropriate it and are content to live out our lives
54:14 -  humanly, religiously, though you say, man cannot. So Lord, grant us the revelation of the reality of your life and save us, my God, from the terrible spectacle of a man propped up by a window
54:36 -  who can't even bring an Easter greeting and a character who has made himself in his own image and has descended into pornography
54:46 -  and the grousing with boys in his own bed and the whole shameful thing will collapse because he seeks to be a God unto himself, to create himself,
55:02 -  to create his own reality, which is unreality. So Lord, instruct us. May we be champions for reality in that great reality
55:12 -  which is the power of your life that has overcome death. We thank you and give you praise for the privilege of living through and for you. In Jesus' name, Amen.
