The Holocaust as Judgment  1
57:52 -  anti-Christ, so anti-God, so anti-even elementary morality, and you justify it on the basis of civil rights, civil defense, freedom of speech.
58:03 -  What has that got to do with speech? It's the most filthy outpouring of an invitation to degeneracy. It has nothing to do with speech and the conveyance of ideas
58:15 -  and any political and righteous sense, but they invoke anything because there are untold billions involved in this whole cultural slime, and my people, God bless them, are foremost in the
58:30 -  propagation of that culture. By the way, don't think that Hitler did not play upon this. Who do you think introduced Marlene Dietrich to the film world,
58:41 -  but Jewish producers and directors? They were in the forefront then, they are in the forefront now of Western culture, of a degenerative kind, and when there's a national
58:53 -  backlash, when men see, as they're seeing increasingly, their nation going down the tube, who will be blamed, and with what justification will that blame come?
59:05 -  All because we know not God and God's Christ. The issue of God is Jesus. But in order to repent, how does Paul say it?
59:20 -  Repentance toward God and faith in the Lord Jesus Christ. To present Jesus as an answer before Jews have asked the question is to waste your breath and to more deeply turn them away from the issue.
59:35 -  Repentance toward God must precede faith in the Lord Jesus Christ. Faith in the Lord Jesus Christ is an anomaly. It is a calculated offense to human understanding, sensibility,
59:48 -  and intellectual consideration. God has seen to that.
