The Eternal Gospel

00:00 -  I must be losing my Jewish distinctive. Oh my. Well,
51:03 -  And in so much that we have neglected the priority of God to the Jew first, do you know what we have said to the powers of the air
51:10 -  that have observed us? Jesus we know and Paul we know, but who are you? Your harmless little charismatic society
51:18 -  and your choruses and amen's and hallelujah's? No threat because we have observed that though you say Lord, Lord and sing all of these elegant choruses,
51:32 -  do you realize what you're singing? When it comes to obedience, you have flinched and you have found a way to circumvent
51:42 -  the requirement of God to the Jew first and in that you have indicated to the powers of the air that you are not a people of obedience to the Lord
51:53 -  and therefore you have no consequence to be feared. It's costly to disregard the clear injunction of God and that has been the historic condition of the Church
52:10 -  since the apostolic time. That's why we're no longer apostolic. We're a Sunday culture with parish church groups
52:17 -  to do for us what we're unable ourselves as the Church to do. You know what God has done? He's seen to it that we Jews are proliferated everywhere.
52:26 -  Try and find a nation in which there's not some Jewish presence right under your very nose. So we're without excuse.
52:37 -  But I'll tell you what, if they're not here now, they'll be here shortly. It's a whole other story, maybe tomorrow I'll speak about it.
52:46 -  Jews are going to be cast again in and through the nations, dispersed, another exile, another flight, another exodus through all nations in the time of Jacob's trouble.
52:59 -  They'll be coming through and then you'll be tested. What will you do with them then? What will you say to them then in a last opportunity
53:09 -  for them to hear or perish? Will you speak it as a formula? You need to be saved, brother.
53:17 -  Well, I praise God that 36 years ago when I was the hitchhiking Jewish atheist, the man who picked me up as I stood at the side of the road
53:27 -  for three hours in the drizzle and the rain with a brand-new car and stopped and didn't just wave me on but got out of the car and greeted me at the side of the road,
53:35 -  I thought he's got to be a homosexual. Why else would a man stop for a soggy mess like me, an angry, modern man, but he took my filthy rucksack, saturated,
53:50 -  and threw it in the backseat of his car and didn't even notice what it did to the upholstery. I thought, what manner of man is this?
53:57 -  And had me sit down on the front seat and we drove off. I felt like I was an exalted guest and that I was doing him a favor.
54:04 -  And he turned to me in German and he said, why are you traveling like this? It's past the tourist season. You're no kid.
54:12 -  And so well as I could, I tried to explain, I'm a modern man. Not only I am a modern man, I am the quintessential modern man. We Jews are the authors of modernity.
54:23 -  We have given the world Karl Marx, Sigmund Freud, Albert Einstein, relativism. We have created the modern world and it's dying. And I said, I'm looking for the deepest answers to life.
54:34 -  And before I could finish, I said, and I'm a Jew. I said, oh, cats, you dum-dum. What do you want to tell him that for?
54:41 -  And I turned cautiously to look to see if he was offended. And the man was just radiating joy. He was like a neon tube had been turned on
54:52 -  that he had picked up a Jew as if it were a big deal. It was not a big deal for me to be a Jew. Why should he be excited?
54:59 -  And he insisted that we stop for refreshments at his expense. And I poured out my soul to a Gentile stranger. Why would I do that?
55:09 -  To tell a Gentile stranger who picks me up off the side of the road the deepest secrets of my life and the anguish of my soul as a modern man whose ideologies and faith and hope
55:19 -  have collapsed with the failure of a marriage to a German woman and all of the other kinds of things that have brought me to an end of myself. Why would I tell him that?
55:27 -  Why would I tell him I'm fearful for the future of mankind? I'm expecting an atomic Holocaust. I'm expecting a breakdown of human values.
55:35 -  I'm expecting blood in the streets. Why would I tell that to a Gentile stranger when I've not shared something like that
55:42 -  with my mother or closest friend or family? There was something about that man that drew my heart out. He listened to me as if listening were an act of love.
55:52 -  He wasn't just impatiently waiting to jump on me with John 3.16 and put a notch in his belt. The man's hearing of me was an act of love.
56:02 -  And finally when everything was spit out and I'd come to the ultimate end of myself I thought, what is this guy going to say now?
56:10 -  I've been to Marxist institutes. I'm a university graduate. I'm a teacher of history.
56:15 -  There's nothing new under the sun. I had my arms folded over my chest and he said to me in a quiet and an assured voice,
56:22 -  Artie said, do you know what it is that the world needs? I thought, wow, this guy knows how to ask the questions. Yeah, I want to know what the world needs.
56:32 -  I'm dying for what the world needs. Double dare you to tell me. What would you have said if you picked me up?
56:39 -  Of course, I wouldn't expect that you would. But hypothetically, if you had picked me up and you had taken me at your expense
56:48 -  to a Scottish coffee house and heard me bare my soul to you and there's a man dangling from a thin strand
56:56 -  over the precipice of eternal death, disillusioned and utterly hopeless, and one wrong word will snap that cord
57:05 -  and let him plunder to an eternal doom, what would you have said? Are you saved, brother?
57:10 -  Do you know Jesus? If you would have said even that much, would you give me a little pat on the back
57:16 -  and give me some, I don't know what, humanistic aside that would have guaranteed my death? I'm looking at this man.
57:25 -  What is he going to tell me about what the world needs? And he said, Artie said, you have to hear this in German,
57:32 -  what the world needs is for men to wash one another's feet. And when I heard that, down I went. At least my human spirit went down
57:44 -  and was weeping on the floor while I continued to sit in my chair looking very defiant and totally unmoved.
57:52 -  Be prepared for that. Don't look at their faces. Don't think that because they're angry
57:57 -  or because they're silent or because they seem to be unimpressed that your words were without effect.
58:03 -  It's deeper than you know, especially if it's not your word but the Lord's. If this man had said,
58:11 -  John 3.16 or a quarter of the scripture or given me a formula, you know where I'd be long before today?
58:17 -  Dead. I'm alive and blessing you, I trust, because at a critical juncture
58:25 -  and a once and for all existential moment, a man did not give me a religious cliché, which he could cheaply have said
58:34 -  and then gotten rid of the responsibility. But he spoke the one thing calculated to pierce my soul. What the world needs is for men to wash one another's feet.
58:43 -  Instantly I had a vision of the angry art cats, hot shots of the world bending to wash the feet of those with whom they're in opposition,
58:51 -  school teachers with their administrators and black and white and Palestinian and Israeli, wherever there's conflict,
58:58 -  I instantly recognized that washing of the feet of the other would bring reconciliation without bloodshed. And something rose in my heart like Eureka.
59:07 -  And before I could contain myself, this man went on to tell me about the gospel of Jesus Christ in German.
59:13 -  And I'm trying to say, hey, hold it. I'm a Jew, that's not for me, that's you guys. You have your book, you have your this, we have ours.
59:19 -  But I had no voice. And he went on, and the time he finished, I was done for. I left that Swiss coffee house like a drunken sailor.
59:30 -  I staggered out. The power of what had impacted me in a moment, because a man did not speak a cliché, but the word of the Lord.
59:39 -  How did he know to speak it? Because the Spirit of God knew me and knew that I was an idealist, a social activist,
59:48 -  a political ideological man, always looking for something to save the world. That's us Jews.
59:55 -  And never finding it, that even when I was a Marxist and a Communist, we were doing one another in
01:00:03 -  and didn't know what kindness is. When he spoke, wash one another's feet. Whoa!
01:00:09 -  Because that man was in such union with God. He was such a man of the Spirit that the Spirit could give him the thought appropriate to me
01:00:20 -  and to speak it with an anointing that pierced my soul asunder and put me on the path of salvation. Could you have performed that?
01:00:29 -  Not in a moment, unless you're consistently a man or woman of the Spirit. See?
01:00:38 -  We Jews are for your sake. Or else you're going to slumber. You're going to fall back in your seat.
01:00:44 -  Reduce the faith to some kind of bland culture. I accept that we are a test and a challenge for you to be the men and women of the Spirit,
01:00:54 -  moving us to jealousy, speaking words that we cannot evade and are calculated to bring us to an eternal salvation.
01:01:02 -  Salvation is of the Jews. You owe us something. You receive something from us.
01:01:10 -  And God is waiting for you to give it. Even if you'll be called arrogant and presumptuous and narrow and dogmatic and exclusive,
01:01:23 -  you can expect anger, rejection, abuse, insult, opposition. Maybe martyrdom. Hey, what a privilege.
01:01:30 -  A crown. An eternal crown for faithful obedience, even if it has required my life.
01:01:36 -  And here's what you need to know, your dear saints. There's so much to tell you. That the Church is called to be a martyr church.
01:01:45 -  By definition. That when the Lord ended my 14-month sabbatical silence about 15 years ago
01:01:53 -  with an invitation to speak on the mystery of Israel and the Church in the last days, the first thing I spoke of seven messages
01:02:01 -  was that to move the Jew to jealousy, and I never said how. And through six messages, I roamed the landscape, never answering the question.
01:02:10 -  Went to bed Saturday night. Sunday morning is the final message. And not knowing what that message was,
01:02:16 -  as I don't know tomorrow's, at 3 o'clock in the morning, not 2.59, 3.01, 3 o'clock,
01:02:22 -  I shut out of bed with one word, martyrdom. The final message was, the Church that will move Jews to jealousy is a martyr church.
01:02:30 -  Particularly if it's a martyr church for their sake. What? You Gentiles are going to be martyrs for us Jews? What did we ever do for you?
01:02:40 -  You have every reason to resent us, dislike us. We are arrogant. Look at the trouble we bring in the world
01:02:48 -  and look at the things for which we will be accused. And you're going to be willing to suffer martyrdom? And maybe even at our own hands?
01:02:58 -  If that doesn't move a Jew to jealousy, I don't know what will. If that doesn't impress a Jew that what you are about is of uttermost importance that you're willing to die for it,
01:03:09 -  I don't know what else could move them. Well, let me end this. It is the willingness to die for the message
01:03:19 -  that attests to its singular significance and to the issue of eternity itself as not only being real,
01:03:27 -  but being of foremost and ultimate consideration. We are not living as if that's true. And Paul said to the philosophers at Mars Hill,
01:03:36 -  God has established of one blood all nations of men and established the bounds of their habitation that they might seek after God
01:03:44 -  if happily they may be found with him. Paul is telling philosophers there's only one reason for human existence.
01:03:50 -  There's only one reason for the existence of nations. It's not for culture, it's not for anything else, but to give men opportunity in this life,
01:03:59 -  transient and short that it is, to establish the issue of eternity. That was Paul's narrow view of reality
01:04:09 -  and the purpose for being. And they scoffed and they said, well, we'll hear again of this man.
01:04:14 -  I never did. But some clave unto Paul and believed because there's something about Paul's insistence
01:04:23 -  and the reality of what he conveyed that you could not separate the man from his message. They clave unto Paul and believed.
01:04:31 -  The man was his message. So either the gospel is a scandal or a cliche, a formula for salvation or a message of eternal life
01:04:47 -  that requires the sending of messengers by a sending body that intercedes with groanings that cannot be uttered.
01:04:59 -  We need to make that message our own. That the issue of redemption is something that we have come to know through the gospel,
01:05:12 -  that we ourselves are saved to the uttermost. And don't think that that is automatically true. Many of us in this room have only recited a formula,
01:05:23 -  have only, quote, made a decision. And our lackluster Christian life indicates how wanting we are in the full salvation that God intends.
01:05:36 -  When you read the biography of Oswald Chambers, who was eloquent and impressive as a teacher, at the same time going through a dark night of the soul,
01:05:47 -  at the very time he was being complimented for how well he expressed the gospel and the scriptures, he himself was agonizing over the issues of faith for his own soul.
01:05:58 -  The Lord gave him a long season of a suffering of the dark night of the soul. But when he finally came out of it,
01:06:07 -  he could speak the reality of God and the message of God with such insight and such penetration as has been blessing saints of every generation still
01:06:17 -  and whom I read every morning and you should also. Are you willing for a dark night of the soul? Are you willing to move from bland formulas and easy decisions
01:06:28 -  and shallow Christianity to a radical appropriation of a faith because it has been made unmistakably real through trials to which God will submit you
01:06:39 -  that you might know what it means to be redeemed to the uttermost and therefore proclaim it with that kind of reality? I want to pray for the Church of the last days
01:06:52 -  that the glory of the latter house will be greater than the former. We need to repent for how far we have fallen. Lord, precious God on high,
01:07:06 -  what shall I say, Lord? Forgive us. We have not taken Your Word seriously. You have said to the Jew first.
01:07:16 -  You have said this Gospel is the power of God because the message itself is inane. The message itself is intellectually embarrassing.
01:07:24 -  The message itself does not commend it intellectually to anyone. It's a piece of foolishness. It's a scandalous message. And unless it is conveyed by power,
01:07:34 -  how shall anyone believe it unto salvation? And Lord, we have not known that power. And not only have Jews suffered for the neglect, but Greeks.
01:07:43 -  So I'm asking for revival that is revival indeed. Going back to the point where we missed it and left off in our own obedience. And why you should speak that tonight, I don't know.
01:07:55 -  Because of the ministry here that is occupied with and purports to be concerned for the propagation of the Gospel. You used that to trigger these thoughts for me. I don't know.
01:08:05 -  It's just a sounding board. And that this word will go out beyond them to a church that needs to be pricked in its neglect
01:08:13 -  and falling into a relativistic pluralistic world where it's an embarrassment to be insistent there's only one way and it's narrow
01:08:22 -  and that the issue is eternal. And to insist upon that with those who are the foremost expositors of the world and its values, the Jew.
01:08:32 -  And to trust the power of God to succeed there and to be willing to suffer not just insult, but injury. Because we know that this is a message of life or death.
01:08:44 -  Thank you my God. Help me Lord to be what I ought in this regard. Calling the church to this kind of reality.
01:08:54 -  Precious God, teach us as you taught Oswald Chambers what redemption means, my God. To esteem it and its message
01:09:04 -  and to be willing to bear the offense of it no matter what. And we thank you and give you praise for the privilege of it. In Jesus' name, Amen.
